tweet-id	timestamp	url	likes	replies	retweets
29297473900	2010-10-31 17:51:55	/budimandjatmiko/status/29297473900	0	0	0
28988866287	2010-10-28 13:29:04	/budimandjatmiko/status/28988866287	0	0	0
28981647021	2010-10-28 11:58:16	/budimandjatmiko/status/28981647021	1	0	0
28679678580	2010-10-25 11:00:36	/budimandjatmiko/status/28679678580	0	0	1
28411242548	2010-10-22 14:47:05	/budimandjatmiko/status/28411242548	0	0	0
28401922001	2010-10-22 13:00:22	/budimandjatmiko/status/28401922001	0	0	0
28362655303	2010-10-22 01:51:30	/budimandjatmiko/status/28362655303	0	0	0
27713644711	2010-10-18 07:37:44	/budimandjatmiko/status/27713644711	0	0	0
27224582166	2010-10-13 09:04:53	/budimandjatmiko/status/27224582166	0	0	0
27224486774	2010-10-13 09:02:55	/budimandjatmiko/status/27224486774	0	0	2
27224216000	2010-10-13 08:57:03	/budimandjatmiko/status/27224216000	0	0	0
27115797830	2010-10-12 06:46:38	/budimandjatmiko/status/27115797830	0	0	0
27113790827	2010-10-12 06:05:17	/budimandjatmiko/status/27113790827	0	0	0
26909001566	2010-10-10 04:55:20	/budimandjatmiko/status/26909001566	0	0	0
26744172873	2010-10-08 12:36:51	/budimandjatmiko/status/26744172873	0	0	0
26732798232	2010-10-08 09:30:48	/budimandjatmiko/status/26732798232	0	0	1
26437019702	2010-10-05 07:41:02	/budimandjatmiko/status/26437019702	0	0	0
26270340337	2010-10-03 14:22:55	/budimandjatmiko/status/26270340337	0	0	0
26235798999	2010-10-03 04:09:12	/budimandjatmiko/status/26235798999	0	0	0
26234561374	2010-10-03 03:51:45	/budimandjatmiko/status/26234561374	0	0	1
29297473900	2010-10-31 17:51:55	/budimandjatmiko/status/29297473900	0	0	0
28988866287	2010-10-28 13:29:04	/budimandjatmiko/status/28988866287	0	0	0
28981647021	2010-10-28 11:58:16	/budimandjatmiko/status/28981647021	1	0	0
28679678580	2010-10-25 11:00:36	/budimandjatmiko/status/28679678580	0	0	1
28411242548	2010-10-22 14:47:05	/budimandjatmiko/status/28411242548	0	0	0
28401922001	2010-10-22 13:00:22	/budimandjatmiko/status/28401922001	0	0	0
28362655303	2010-10-22 01:51:30	/budimandjatmiko/status/28362655303	0	0	0
27713644711	2010-10-18 07:37:44	/budimandjatmiko/status/27713644711	0	0	0
27224582166	2010-10-13 09:04:53	/budimandjatmiko/status/27224582166	0	0	0
27224486774	2010-10-13 09:02:55	/budimandjatmiko/status/27224486774	0	0	2
27224216000	2010-10-13 08:57:03	/budimandjatmiko/status/27224216000	0	0	0
27115797830	2010-10-12 06:46:38	/budimandjatmiko/status/27115797830	0	0	0
27113790827	2010-10-12 06:05:17	/budimandjatmiko/status/27113790827	0	0	0
26909001566	2010-10-10 04:55:20	/budimandjatmiko/status/26909001566	0	0	0
26744172873	2010-10-08 12:36:51	/budimandjatmiko/status/26744172873	0	0	0
26732798232	2010-10-08 09:30:48	/budimandjatmiko/status/26732798232	0	0	1
26437019702	2010-10-05 07:41:02	/budimandjatmiko/status/26437019702	0	0	0
26270340337	2010-10-03 14:22:55	/budimandjatmiko/status/26270340337	0	0	0
26235798999	2010-10-03 04:09:12	/budimandjatmiko/status/26235798999	0	0	0
26234561374	2010-10-03 03:51:45	/budimandjatmiko/status/26234561374	0	0	1
26158565216	2010-10-02 08:32:41	/budimandjatmiko/status/26158565216	0	0	0
26087915183	2010-10-01 15:04:37	/budimandjatmiko/status/26087915183	1	0	0
26081632952	2010-10-01 13:55:27	/budimandjatmiko/status/26081632952	2	0	0
26063785183	2010-10-01 09:18:45	/budimandjatmiko/status/26063785183	0	0	0
26056754967	2010-10-01 06:40:16	/budimandjatmiko/status/26056754967	0	0	0
26055107751	2010-10-01 06:05:15	/budimandjatmiko/status/26055107751	0	0	1
25894306546	2010-09-29 15:44:26	/budimandjatmiko/status/25894306546	0	0	0
25873529393	2010-09-29 11:19:08	/budimandjatmiko/status/25873529393	1	0	0
25869423338	2010-09-29 10:02:11	/budimandjatmiko/status/25869423338	0	0	0
25793228288	2010-09-28 15:10:47	/budimandjatmiko/status/25793228288	0	0	0
25771174719	2010-09-28 10:02:14	/budimandjatmiko/status/25771174719	0	0	0
25573591489	2010-09-26 08:27:16	/budimandjatmiko/status/25573591489	0	0	0
